Name,InspectionAddress,Full Address,BillingType,Status,Billing Type Specification,Store Type,Sells Produce,Latitude,Longitude
Dollar General (Connell) #22071 (Store),182  Hawthorne St  Connell WA 99326,"Dollar General ,182  Hawthorne St  Connell WA 99326",1-4 Registers (Grocery),Permitted,(Grocery),(Connell)  (Store),Grocery,46.6514492,-118.8599264
Dollar General (P) #22672 (Grocery),1409 E Lewis St  Pasco WA 99301,"Dollar General ,1409 E Lewis St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(P)  (Grocery),Grocery,46.233882,-119.078316
Dollar General Store #21945 (Grocery),210  2nd St  Benton City WA 99320,"Dollar General Store  ,210  2nd St  Benton City WA 99320",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.25628278,-119.4778153
Dollar Tree #07823,1307  Jadwin Ave  Richland WA 99354,"Dollar Tree ,1307  Jadwin Ave  Richland WA 99354",1-4 Registers (Grocery),Permitted,(Grocery),,Grocery,46.28666363,-119.2777927
Dollar Tree #2566 (Store),87  Columbia Point Dr  Richland WA 99352,"Dollar Tree  ,87  Columbia Point Dr  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.26401173,-119.2647032
Dollar Tree #2696 (Store),3017 W Kennewick Ave  Kennewick WA 99336,"Dollar Tree  ,3017 W Kennewick Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.20941744,-119.1607477
Dollar Tree #3450 (Store),7411  Canal Dr  Kennewick WA 99336,"Dollar Tree  ,7411  Canal Dr  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.22529145,-119.2193857
Dollar Tree #7359 (Store),5710 N Road 68   Pasco WA 99301,"Dollar Tree  ,5710 N Road 68   Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2663536,-119.1826085
"Eastside Brothers, LLC (Store)",1303 E Lewis St  Pasco WA 99301,"Eastside Brothers,LLC ,1303 E Lewis St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.23351349,-119.0798512
Eastside Market (Store),335  Wine Country Rd  Prosser WA 99350,"Eastside Market ,335  Wine Country Rd  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.21273369,-119.7811659
El Jazmin (Store),704 S Columbia Ave  Connell WA 99326,"El Jazmin ,704 S Columbia Ave  Connell WA 99326",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.6540581,-118.8609688
El Torito MX Market (Store),420 W Lewis St  Pasco WA 99301,"El Torito MX Market ,420 W Lewis St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.2305483,-119.091251
Elhag Africa Food (Grocery),126  Vista Way  Kennewick WA 99336,"Elhag Africa Food ,126  Vista Way  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.211114,-119.1571694
Euro-Market (Store),3101 W Clearwater Ave  Kennewick WA 99336,"Euro-Market ,3101 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.212196,-119.162444
European Delights (Store),4434 W Clearwater Ave  Kennewick WA 99336,"European Delights ,4434 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.2124684,-119.1815275
Family Dollar,920 N 20th Ave  Pasco WA 99301,"Family Dollar,920 N 20th Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),,Grocery,46.23711886,-119.1175436
Family Food (Store),5608 W Clearwater Ave  Kennewick WA 99336,"Family Food ,5608 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.212509,-119.1968774
Fiesta Foods (Kiosk),115 S 10th Ave  Pasco WA 99301,"Fiesta Foods ,115 S 10th Ave  Pasco WA 99301",0 Seats,Permitted,(None,(Kiosk),Food Service,46.22812629,-119.1012311
Fiesta Foods (Store),115 S 10th Ave  Pasco WA 99301,"Fiesta Foods ,115 S 10th Ave  Pasco WA 99301",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.22812629,-119.1012311
Finley General Store (Store),214410 E SR 397   Kennewick WA 99337,"Finley General Store ,214410 E SR 397   Kennewick WA 99337",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.196591,-119.0858052
Finley Shopper (Grocery),222608 E Game Farm Rd  Kennewick WA 99337,"Finley Shopper ,222608 E Game Farm Rd  Kennewick WA 99337",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.15399592,-119.0326117
Fred Meyer #163 (Store),2811 W 10th Ave  Kennewick WA 99336,"Fred Meyer  ,2811 W 10th Ave  Kennewick WA 99336",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.19707695,-119.161581
Fred Meyer #286 (Store),101  Wellsian Way  Richland WA 99352,"Fred Meyer  ,101  Wellsian Way  Richland WA 99352",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2607747,-119.2852616
Fruta La Piconsita #63,10 E Bruneau Ave  Kennewick WA 99336,"Fruta La Piconsita ,10 E Bruneau Ave  Kennewick WA 99336",0 Seats,Permitted,(None,,Food Service,46.21062083,-119.1167346
Galaxy Mart II (Store),1301  Jadwin Ave  Richland WA 99354,"Galaxy Mart II ,1301  Jadwin Ave  Richland WA 99354",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.28585,-119.278019
Garcias Market (Grocery),804  6th St  Prosser WA 99350,"Garcias Market ,804  6th St  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.20440648,-119.7682381
Garfield Mart (Store),30 S Garfield St  Kennewick WA 99336,"Garfield Mart ,30 S Garfield St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.20753558,-119.127528
Gateway Chevron,20  Merlot Dr  Prosser WA 99350,"Gateway Chevron,20  Merlot Dr  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),,Grocery,46.2199984,-119.7863483
Golden Dragon Asian Grocers (Store),4727 W Clearwater Ave  Kennewick WA 99336,"Golden Dragon Asian Grocers ,4727 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2122688,-119.1616751
Golden Roll Sushi #0367 (HACCP),TBD W Rio Grande   Kennewick WA 99336,"Golden Roll Sushi  ,TBD W Rio Grande   Kennewick WA 99336",Map Facilities (Grocery),Permitted,(Grocery),(HACCP),Food Service,46.22299928,-119.2088405
Golden Triangle Asian Market,2810 W Kennewick ave Suite D Ave  Kennewick WA 99336,"Golden Triangle Asian Market,2810 W Kennewick ave Suite D Ave  Kennewick WA 99336",1-4 Registers (Grocery),Pending,(Grocery),,Grocery,46.20974194,-119.1605311
Grand Central Coffee Station (Store),2205 W Court St  Pasco WA 99301,"Grand Central Coffee Station ,2205 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Food Service,46.2418312,-119.120667
Grocery Outlet - Kennewick (Store),1325 W 4th Ave  Kennewick WA 99336,"Grocery Outlet - Kennewick ,1325 W 4th Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.20567464,-119.1366058
Grocery Outlet (Prosser),1309  Meade Ave  Prosser WA 99350,"Grocery Outlet ,1309  Meade Ave  Prosser WA 99350",1-4 Registers (Grocery),Pending,(Grocery),(Prosser),Grocery,46.20619511,-119.7679947
Grocery Outlet (Store),5710 N Road 68   Pasco WA 99301,"Grocery Outlet ,5710 N Road 68   Pasco WA 99301",5-9 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2663536,-119.1826085
Grocery Outlet of Richland,2901 W Queensgate Dr  Richland WA 99352,"Grocery Outlet of Richland,2901 W Queensgate Dr  Richland WA 99352",5-9 Registers (Grocery),Permitted,(Grocery),,Grocery,46.25899088,-119.3102631
Helados La Michoacana LLC (Store),402 N Ely St  Kennewick WA 99336,"Helados La Michoacana LLC ,402 N Ely St  Kennewick WA 99336",1-4 Registers (Grocery),Pending,(Grocery),(Store),Food Service,46.2150473,-119.1582877
Highland Health Foods (Store),101  Vista Way  Kennewick WA 99336,"Highland Health Foods ,101  Vista Way  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.21055955,-119.1573405
Horn Rapids RV Resort (Store),2640  Kingsgate Way  Richland WA 99352,"Horn Rapids RV Resort ,2640  Kingsgate Way  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.3271391,-119.3144486
Island View Market & Deli (Store),1607  Columbia Park Trail  Richland WA 99352,"Island View Market & Deli ,1607  Columbia Park Trail  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,47.3225902,-122.6586171
JC's Mesa Grocery and Deli (Grocery),102  1st Ave  Mesa WA 99343,"JC's Mesa Grocery and Deli ,102  1st Ave  Mesa WA 99343",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.57855585,-119.0072236
Jet Mart Conoco (Store),1001 N Volland St  Kennewick WA 99336,"Jet Mart Conoco ,1001 N Volland St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.22095511,-119.1811425
"Juanitos Foods, LLC (Store)",1620 W Clark St  Pasco WA 99301,"Juanitos Foods,LLC ,1620 W Clark St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Food Service,46.22856369,-119.1099292
